Phrase,labels
Why don’t you go beck your god to murder you? Christianity is a joke,hate_speech
relax and do something...wink wink. hahahahaha! totally enjoying your videos! you both are super yummy!,not_hate_speech
"Jews always have money because they control everything!"" .",hate_speech
American Indians are finally almost extinguished,hate_speech
You look like someone who would do an electric wheelchair race with Stephen Hawking.,not_hate_speech
no fucking way a machine would recognize that shit LOL,not_hate_speech
I would donate for an asylum for all these weird kids missing a gene. ,hate_speech
"My God, the cancer is spreading",not_hate_speech
Men race is a subordinate of women,hate_speech
All Hispanics are dirty and lazy.,hate_speech
This fuckhead makes me ashamed of being Jewish. Shit people like him are destroying everything  ,not_hate_speech
" Oh and NIki pronounced mademoiselle Maupin way better than Siri did.""",not_hate_speech
Our home-grown animals are infinitely preferable.,not_hate_speech
Die fucking arab dude sand niggas,hate_speech
Be aware of the girl in class who doesn't know how to control her emotions because she doesn’t understand that it's not socially acceptable for someone her age to have an outburst.,not_hate_speech
We'll walk right up to the sun hand in hand..,not_hate_speech
Huh kids like this with crazy eyes and weird moves lurking around are scary. Please mama of this creeper cuff him and sent him to an asylum ,not_hate_speech
The problem here is that the people don't listen to the people. I feel as if people on both sides would actually listen to one another they would learn something.,not_hate_speech
Why don't they have their own games?,not_hate_speech
They must be really suffering if they're throwing food all over the ground for the pigeons.,not_hate_speech
Christians are all demonic,hate_speech
Why are you still on the air? Shit,not_hate_speech
I think black and white are just labels. People can live together in piece despite colour dismatch,not_hate_speech
That Asian bloke needs a shave or cover up his hideous beard with a burqa!,hate_speech
Don' worry guys men can easily win femmenism ..... Trust me every shit that invented by men was patterned by men .... There is no way women Gina win in future .....it's just smoke before fire,hate_speech
That is a lot of really dumb people in one room. Wow,not_hate_speech
"People who say ""YAAAASSSS QUEEN"" should be sterilised",not_hate_speech
Crazy auntie get rid of your autistic son and make good to planet,hate_speech
What about to shove your crutch to your ass  ,hate_speech
"I visited Melbourne from Los Angeles the first time in 2012.  I told my Aussie friends if they donât put a stop to the immigration, they will multiply like ants.   They laughed at me saying Oz is a big country.  I told them they have to look at it in terms of 50 years from now.  Being from LA, I see what the Mexicans have done to to this city.  Awful.   They multiply like ants and suck up the resources. $$$",hate_speech
Well..congratulations u loose one of ur subscriber.... shame on u guys u guys sick.,not_hate_speech
"I don't see why we don't just create a transgender category. Seems the most obvious and fair solution. Great athletes will still compete. And the playing field will be as level as can be.  I mean we create weight categories to maximise the fairness of boxing/mma fights. We recognise that just because two people are both male they compete at different levels.  We can do the same for transgender athletes, surely?",not_hate_speech
"Lol, you're not white, you're a Jew. Jews are the worst nation and they must be annihilated, so like you",hate_speech
I would love to watch tearing apart every christian or muslim,hate_speech
I’m an arab and I can make a difference. And I see them as stylish people,not_hate_speech
only people to come in must be able to contribute to society not a drain on us must be able to support themselves with a trade we do not need people living off the rest of us,not_hate_speech
Way to go Dr. Peterson! You hit the nail on the head!,not_hate_speech
Maybe it's because you're autistic?? Wish you death,hate_speech
"Sorry, unlike Germany, I do not incinerate the mentally disabled.",hate_speech
"Generally speaking, most women are lazy and worthless not all, but most.",hate_speech
"When are people going to stop asking, “Why are they only coming out &amp saying something now?”    If you have not been sexually,( mentally & emotionally) abused as a child, by an adult You are not going to understand their reasons. If they tell you why, LISTEN!!  Stop asking “Why now?”   One reason victims don't come forward when YOU THINK they should, is bc no one will believe them. Not all cases, a lot of use are like that though. All situations are different with different types of people involved, We all have our reasons. If you're not going to listen, stop asking. You're choosing to be ignorant. Being sexually abused & ALL that comes with it, psychological abuse etc. Forever changes you, You're forever damaged & it can never be undone. Instead of looking at victims as a group, look at them & their story as their own. They're not all the same, & we will not all do the same thing after the damage has been done.",not_hate_speech
Not only the politicians are going into the wood chippers but also the police.,not_hate_speech
All disabled people are a burden on society and should be euthanized!,hate_speech
ABUSERS ARE NOT JUST MEN. THEY CAN BE WOMEN TOO,not_hate_speech
"Let kids be kids for fucks sake ,",not_hate_speech
For the static sound - what do you use for editing? I know it'¬Ä¬ôs annoying but if you use premiere pro you should be able to use decrackling to help a bit,not_hate_speech
You're nothing but a filthy animal!,hate_speech
Responsibility is something that needs to grow inside of everyone,not_hate_speech
"When I was a kid I was never rough with girls. However, I was scratched, bitten and pushed by girls. I still have a small scar from one such incident.",not_hate_speech
It's music to my ears hearing you scream in agony,hate_speech
All Jews are greedy.,hate_speech
No need to lip sync just get your mic and put it closer to you and you'll sound fine,not_hate_speech
Dirty Christianity follower creating war everywhere Iran should attack USA  We will support Iran,hate_speech
"It doesn't matter if you're black or white, gay or straight, woman or man, trance,  disabled, Dyslexic or intelligent we all are people.  Quality!",not_hate_speech
"Delightful!  Brought back some memories . . . .   Have a wonderful week, guys!",not_hate_speech
Feminism is just about women crying about the fabricated bullshit they go through. It's a JOKE! They should just man up!,hate_speech
I was just recently dancing in the club with this song oh man I was grabbing some ass that was blast next day my legs hurts so bad,not_hate_speech
"The fear of approaching a girl while not being a lesbian is so real. You're spot on. You want to be flirty and everything but at the back of your head you always have ""what if she's not cool with me not being a lesbian"". I'm pan, but I kinda gave up on relationships with women (both born women and trans women) quite some time ago, because the amount of ""you're gonna leave me for a guy"", or constant ""are you sure you like girls and it's not a phase?"" or ""I can' be with someone who is not true to themselves (as in I'm actually a lesbian but I don' want to admit it)"" and other bs was just too much. They were never worried about another woman btw, it was always either about men or questioning validity of my sexuality. It's really quite sad, because other than that each of my exes were really strong, confident women. Except when it was about my sexuality.",not_hate_speech
I regret approaching that girl. Fuck our gynocentric society. I hate her and wish her to vanish like my feelings,hate_speech
I work 10 hour shifts starting at 4 am. I don't know if I can effectively cut caffeine.,not_hate_speech
I feel uncomfortable when I'm in the same room with an abnormal disabled person,hate_speech
All Muslims are terrorists!,hate_speech
He has lower iq than when water freezes,not_hate_speech
apparently east Asians commit less crime than us......well this is because they are submissive conformist losers..WHITE POWER,hate_speech
People changing their genders left and right and i cant even decide on a tattoo,not_hate_speech
"People are individuals.  Look at character and behavior, obviously. Race? Meh. That tells you a genetic geographical trait, and that's about it.",not_hate_speech
You're nothing but trash!,hate_speech
"ALL LIVES DO MATTER NO MATTER IF YOU R BLACK, WHITE HISPANIC ,MUSLIM, JEW, ATHEIST , CHRISTIAN.....PERIOD.",not_hate_speech
They have the right to get there ass kicked all the way back across the border,hate_speech
WE HATE OUR LEADERS. LEARN FROM EROPEANS AND LEARN FROM AMERICANS. THEY ARE BETTER THAN OUR LEADERS.WE ARE NOT ELECTING GOOD LEADRES WE ARE ELECTING CRIMINALS.,not_hate_speech
"Okay first of all Drag is not a fetish.  It can be but it's not inherently  meant to be.  It's performance art.  Its  a mature form of  performance art.  Its  literally grown ups playing dress up .  But yes it's highly sexualised as with anything catered to an adult audience so i think it's downright disgusting to bring your 5 year old child to a drag convention where literally companies  have booths selling sex toys.  Its not progressive to let your kids perform seductively infront of an audience, its creepy.",not_hate_speech
You make me wanna hit the gym. Thicker than a damn snicker dammit!,not_hate_speech
"Your life isn't that wonderful. That room tells me that you're clearly an alcoholic, and you drink shit beer. Maybe stop wasting your money on shit like that Apple watch, and you could afford some clothes that dont come from Walmart, and get someone other than your mom to cut your hair.",not_hate_speech
"Sorry but black Americans are more in danger than homosexuals. Homosexuals have so much privilege now. More than African Americans, Latinos, Arabs.",not_hate_speech
"My cousin has that, he's 7 but still can't talk properly like a 1 year old. He's sensitive to loud noise or crying noise. It's hard to talk to him but I still love him cuz he thinks of me as one of his favorite person besides his mother.",not_hate_speech
You look magically retarded.,hate_speech
You should be so meaner to dyslexic people.,hate_speech
I wonder why they didn' throw the fire booms in that cult when those Muslims were inside. That would have been one hell of a BBQ.,hate_speech
Terrorism has no religion Terrorism is a cancer need to be wipe out. RIP to all victims,not_hate_speech
who gives aa fuck about shit diamonds from the jews fuck them both,hate_speech
"Honestly, go fuck yourself! bitch!",hate_speech
It's satisfying to see you in such agony.,hate_speech
Is this guy actually autistic or Is he faking it,not_hate_speech
Beware LBGQ community Shari Law is coming you guys will have to go back in closet to save your heads.,hate_speech
We are not these bodies. We are spirit souls.,not_hate_speech
he may be in a wheelchair but he's not at all bad looking! forget the trolls dude,not_hate_speech
"gas yourself, you aussies are all retarded",hate_speech
In the US that same game was called ten little Indians. I know.. It’s boring,not_hate_speech
Hitler was onto something when he tried to exterminate the Jewish race .,hate_speech
Jewish piece of shits like him should get hanged,hate_speech
That's what we should do here in a Us survey take them to FEMA camps and put the gas on these people are not coming from starvation destitute bad areas look how they're dressed their well-dressed well fed it's like a trojan horse and it's time we put them in the penal camps and get rid of them make use of the FEMA camp,hate_speech
"to be honest I am part of the LGBT community and to be in their shoes for a while it hurts you a lot, you want to be treated the same way as other being. they need to see that there is people that are in their church that are in the LGBT community going their. They need to notice them and how they are people like them.",not_hate_speech
"I liked macklemore,  not anymore , gays should fucking die motherfuckers cocksukers",hate_speech
" I support trans people's rights to be free of discrimination, but biological males should not be allowed to compete against women in athletic competitions",not_hate_speech
Awful. Such a terror coming from nowhere. Felt for him,not_hate_speech
they are all fucking assholes,not_hate_speech
"I fear any future hate crime victim may well be labeled as just ""pulling a smollett"".",not_hate_speech
He seems like the very talkative taxi driver,not_hate_speech
"Son, the greatest lesson I can teach you is this: Don't tell your troubles to others. Because if you tell ten people of the problem you are having. Seven of them won't care, two of them will laugh at you behind your back. One of them will tell you to deal with yourself.",not_hate_speech
"To say that black lives matter, is not racist statement. But the B.L.M. organization itself is racist group. If they could just quit hating white people and turn that energy towards their own community, the biggest group of black oppressors there is, they might make a difference.",not_hate_speech
"If you had a Winnie, even tinnie, and flat chest I would hire you miss. Now no way.",not_hate_speech
Fat bastard we won' forget you. Vets will kick your ass when caught,not_hate_speech
